0,1,2,3,4,5
"('ecoinvent-3.4-biosphere', '3277a622-8234-4c73-ba22-526cf9a0fccc')",Propanol,Propanol,C3H8O,60.1,
"('ecoinvent-3.4-biosphere', '22524a35-32c0-482a-82f7-49724ad1c595')",Diethyl ether,Diethyl ether,C4H10O,74.12,
"('ecoinvent-3.4-biosphere', '22524a35-32c0-482a-82f7-49724ad1c595')",Diethyl ether,Diethyl ether,C4H10O,74.12,
"('ecoinvent-3.4-biosphere', '22524a35-32c0-482a-82f7-49724ad1c595')",Diethyl ether,Diethyl ether,C4H10O,74.12,
"('ecoinvent-3.4-biosphere', '99cd88f6-16b7-4b28-895c-2f42101f634b')",Barium,Barium,Ba,137.33,
"('ecoinvent-3.4-biosphere', '99cd88f6-16b7-4b28-895c-2f42101f634b')",Barium,Barium,Ba,137.33,
"('ecoinvent-3.4-biosphere', '99cd88f6-16b7-4b28-895c-2f42101f634b')",Barium,Barium,Ba,137.33,
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",Copper,Cu,63.55,-1.2312433333350088e-14
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",Copper,Cu,63.55,-1.2312433333350088e-14
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",Copper,Cu,63.55,-1.2312433333350088e-14
"('ecoinvent-3.4-biosphere', 'c89708f7-cb6c-4691-b8cc-cf2cb03b14a6')",Acifluorfen,Acifluorfen,C14H7ClF3NO5,361.65,
"('ecoinvent-3.4-biosphere', 'c89708f7-cb6c-4691-b8cc-cf2cb03b14a6')",Acifluorfen,Acifluorfen,C14H7ClF3NO5,361.65,
"('ecoinvent-3.4-biosphere', 'c89708f7-cb6c-4691-b8cc-cf2cb03b14a6')",Acifluorfen,Acifluorfen,C14H7ClF3NO5,361.65,
"('ecoinvent-3.4-biosphere', 'b45082cf-2816-46b9-816c-c4036d727804')",Propene,Propene,C3H6,42.08,
"('ecoinvent-3.4-biosphere', 'b45082cf-2816-46b9-816c-c4036d727804')",Propene,Propene,C3H6,42.08,
"('ecoinvent-3.4-biosphere', 'b45082cf-2816-46b9-816c-c4036d727804')",Propene,Propene,C3H6,42.08,
"('ecoinvent-3.4-biosphere', '18452b50-8c57-41d2-bbdd-37996c455771')",Acetic acid,Acetic acid,C2H4O2,60.05,
"('ecoinvent-3.4-biosphere', '18452b50-8c57-41d2-bbdd-37996c455771')",Acetic acid,Acetic acid,C2H4O2,60.05,
"('ecoinvent-3.4-biosphere', '18452b50-8c57-41d2-bbdd-37996c455771')",Acetic acid,Acetic acid,C2H4O2,60.05,
"('ecoinvent-3.4-biosphere', '370447a7-70d1-47bd-8577-0a32c4f53570')","Methane, monochloro-, R-40",monochloroMethane,CH3Cl,50.49,
"('ecoinvent-3.4-biosphere', '370447a7-70d1-47bd-8577-0a32c4f53570')","Methane, monochloro-, R-40",monochloroMethane,CH3Cl,50.49,
"('ecoinvent-3.4-biosphere', '370447a7-70d1-47bd-8577-0a32c4f53570')","Methane, monochloro-, R-40",monochloroMethane,CH3Cl,50.49,
"('ecoinvent-3.4-biosphere', 'a1693936-2774-4f31-8e5b-c513a5870015')",Flumioxazin,Flumioxazin,C19H15FN2O4,354.3,
"('ecoinvent-3.4-biosphere', 'a1693936-2774-4f31-8e5b-c513a5870015')",Flumioxazin,Flumioxazin,C19H15FN2O4,354.3,
"('ecoinvent-3.4-biosphere', 'a1693936-2774-4f31-8e5b-c513a5870015')",Flumioxazin,Flumioxazin,C19H15FN2O4,354.3,
"('ecoinvent-3.4-biosphere', '3184c902-c587-4fd7-bd89-769d3cf30072')",Barium,Barium,Ba,137.33,
"('ecoinvent-3.4-biosphere', '3184c902-c587-4fd7-bd89-769d3cf30072')",Barium,Barium,Ba,137.33,
"('ecoinvent-3.4-biosphere', '9ea11aea-7cb7-4b38-b936-a42c2a4bac97')",Ethane,Ethane,C2H6,30.07,
